Date, Time, Temperature (C), Humidity (%)
2020-08-16,16:00:00,24.49,54.11
2020-08-16,16:30:00,24.34,54.56
2020-08-16,17:00:00,24.36,53.71
2020-08-16,17:30:00,24.35,53.97
2020-08-16,18:00:00,24.32,53.83
2020-08-16,18:30:00,24.21,56.03
2020-08-16,19:00:00,24.15,57.32
2020-08-16,19:30:00,24.11,57.22
2020-08-16,20:00:00,24.11,56.64
2020-08-16,20:30:00,24.17,55.95
2020-08-16,21:00:00,24.13,56.80
2020-08-16,21:30:00,23.99,58.21
2020-08-16,22:00:00,24.27,56.84
2020-08-16,22:30:00,24.25,57.78
2020-08-16,23:00:00,24.21,57.36
2020-08-16,23:30:00,24.27,57.04
2020-08-17,00:00:00,24.27,56.34
2020-08-17,00:30:00,23.99,56.99
2020-08-17,01:00:00,24.01,56.66
2020-08-17,01:30:00,23.91,56.11
2020-08-17,02:00:00,23.87,55.35
2020-08-17,02:30:00,23.85,54.85
2020-08-17,03:00:00,23.96,54.46
2020-08-17,03:30:00,24.00,53.80
2020-08-17,04:00:00,23.99,54.10
2020-08-17,04:30:00,23.90,56.01
2020-08-17,05:00:00,23.45,60.25
2020-08-17,05:30:00,23.26,61.15
2020-08-17,06:00:00,22.83,63.63
2020-08-17,06:30:00,21.95,65.69
2020-08-17,07:00:00,22.53,62.79
2020-08-17,07:30:00,21.93,65.53
2020-08-17,08:00:00,22.54,63.00
2020-08-17,08:30:00,22.35,64.36
2020-08-17,09:00:00,22.55,63.85
2020-08-17,09:30:00,22.29,66.64
2020-08-17,10:00:00,22.21,66.56
2020-08-17,10:30:00,22.07,66.34
2020-08-17,11:00:00,22.83,62.08
2020-08-17,11:30:00,22.93,62.17
2020-08-17,12:00:00,23.02,61.76
2020-08-17,12:30:00,23.03,61.24
2020-08-17,13:00:00,23.36,62.08
2020-08-17,13:30:00,23.37,61.41
